score;reg;law;stage;price;name;customer;okpd;card;search
75;0165300010526000599;44-ФЗ;Закупка завершена;65508965.28;Выполнение работ по ремонту автомобильных дорог общего пользования местного значения муниципального образования «Город Томск»;ДЕПАРТАМЕНТ ДОРОЖНОЙ ДЕЯТЕЛЬНОСТИ И БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ ГОРОДА ТОМСКА;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0165300010526000599;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0165300010526000599
75;0152300011926001167;44-ФЗ;Закупка завершена;17176528.71;Выполнение работ по ремонту автомобильной дороги в городе Омске ул. Лермонтова (Реестровый номер 33.1172.26);"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА ОМСКА ""УПРАВЛЕНИЕ ДОРОЖНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0152300011926001167;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0152300011926001167
75;0891200000626008529;44-ФЗ;Закупка завершена;13441206.81;"Работы по содержанию дорог в пгт. ""Курорт-Дарасун"" (00009214-ЭА)";КУРОРТ - ДАРАСУНСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ АДМИНИСТРАЦИИ КАРЫМСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0891200000626008529;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0891200000626008529
75;32616287539;223-ФЗ;Закупка завершена;2592500.0;Проведение запроса предложений в электронной форме на право заключения договора на Выполнение работ по облицовке фасадов трансформаторных подстанций 10/0,4 кВ композиционными панелями (АмКС-147-26).;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМУРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";43.39.19.190;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616287539;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616287539
75;32616315782;223-ФЗ;Подача заявок;2389740.76;Выполнение работ в МАОУ «Саха политехнический лицей» ГО «город Якутск» (г. Якутск, Вилюйский тр. 4 км, д. 3а) - капитальный ремонт МАОУ Саха-политехнический лицей;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""САХА ПОЛИТЕХНИЧЕСКИЙ ЛИЦЕЙ"" ГОРОДСКОГО ОКРУГА ""ГОРОД ЯКУТСК""";43.39.19.190;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616315782;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616315782
70;0165300009026000487;44-ФЗ;Закупка завершена;2851120.41;Выполнение инструментального обследования, инженерных изысканий, проектной и рабочей документации на капитальный ремонт автодорожного моста на Автодороге №2 по адресу: Томская область, ЗАТО Северск, автодорога №2, сооружение № 1ж;УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ЗАТО СЕВЕРСК;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0165300009026000487;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0165300009026000487
70;0302300118926000001;44-ФЗ;Закупка завершена;1753745.33;Капитальный ремонт теплотрассы и водовода МБДОУ Новоселенгинский детский сад;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ НОВОСЕЛЕНГИНСКИЙ ДЕТСКИЙ САД;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0302300118926000001;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0302300118926000001
70;0819600002526000076;44-ФЗ;Закупка завершена;797110.0;Капитальный ремонт тепловой сети от ТК -15 до ТК -16 по ул. Телевизорная в с. Краснотуранск.;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА КРАСНОТУРАНСКОГО РАЙОНА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0819600002526000076;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0819600002526000076
65;32616114611;223-ФЗ;Подача заявок;68964850.91;ОКПД2 41.20.20.290 Строительно-монтажные работы по реконструкции здания ВОХР в рамках инвестиционного проекта P_524-АТ-69;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУКОТЭНЕРГО""";41.20.20.290;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616114611;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616114611
65;32616315975;223-ФЗ;Подача заявок;22034703.74;"«ОКДП2 42.22.12.110 Выполнение проектных, строительно-монтажных работ для технологического присоединения к электрическим сетям заявителей ООО ""Машиностроительный комплекс ""Дальневосточный""; ООО ""Дулов Девелопментс Владивосток""; ООО ""Платформа"" ; ООО ""Рента""; ООО ""Электротехническая корпорация"" ; ООО""Специализированный застройщик ""А-1""; ООО ""Вилор""; Плотникова Наталья Анатольевна (P_25-ПЭС-5915 ТП НС; Q_25-ПЭС-6117 ТП НС; Q_25-ПЭС-6124 ТП НС) в Надеждинском р-не, Приморского края» (Лот № 309601-КС ПИР СМР-2026-ДРСК-ПЭС)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ""";42.22.12.111;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616315975;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616315975
63;0116300028926000010;44-ФЗ;Закупка завершена;4301850.0;"Строительство инженерных сетей водоснабжения в поселке Кысыл-Сыр Вилюйского улуса (Наружный водопровод МКР ""Новый поселок"")";"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""ПОСЕЛОК КЫСЫЛ-СЫР"" МУНИЦИПАЛЬНОГО РАЙОНА ""ВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0116300028926000010;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0116300028926000010
63;0380200000126006079;44-ФЗ;Закупка завершена;3974712.68;Выполнение работ по ремонту твердого покрытия дороги ул. Центральная пл. (в границах ул. Курганская – ул. 1-ая Абаканская) п. Ташеба;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ САПОГОВСКОГО СЕЛЬСОВЕТА УСТЬ-АБАКАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ ХАКАСИЯ;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0380200000126006079;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0380200000126006079
